,heat_Demand_MT,heat_Demand_HT,heat_Waste_Heat_MT,heat_Waste_Heat_HT
2021-01-04 04:15:00,1955.589314,302.3,2168.9404,487.5760063
2021-01-04 04:30:00,1941.718888,484.1,2225.903992,498.7427084
2021-01-04 04:45:00,1948.901881,479.3,2237.033326,340.3043103
2021-01-04 05:00:00,1957.063931,281.4,2464.772167,232.5363063
2021-01-04 05:15:00,1941.663186,162.9,2392.232183,208.9768573
2021-01-04 05:30:00,1929.259983,142.2,2332.156714,250.8601443
2021-01-04 05:45:00,1698.997403,172.2,2211.11665,352.8509965
2021-01-04 06:00:00,2015.693317,191.6,2338.295425,529.7660365
2021-01-04 06:15:00,2018.832601,308.0,2531.934361,596.816028
2021-01-04 06:30:00,1973.176234,354.4,2611.607756,243.4861957
2021-01-04 06:45:00,2030.964366,199.9,2528.013669,328.5489788
2021-01-04 07:00:00,1942.533184,229.4,2437.546733,401.7780163
2021-01-04 07:15:00,1902.112771,271.4,2387.925156,447.0019948
2021-01-04 07:30:00,1894.309946,290.0,2352.27905,475.546067
2021-01-04 07:45:00,1880.798283,286.5,2554.143564,491.2675393
2021-01-04 08:00:00,1863.633368,347.6,2533.175522,238.2859832
2021-01-04 08:15:00,1890.956246,276.2,2472.712067,338.9897146
2021-01-04 08:30:00,1933.565059,295.9,2692.468183,316.3262243
2021-01-04 08:45:00,1970.300636,281.4,2952.294917,353.7810899
2021-01-04 09:00:00,1969.441111,258.6,2862.8632,664.3676399
2021-01-04 09:15:00,1943.924899,461.5,2782.960253,565.4518618
2021-01-04 09:30:00,1953.940256,372.6,2888.751125,314.7032428
2021-01-04 09:45:00,1948.902354,215.6,2734.975603,252.3247778
2021-01-04 10:00:00,2017.597736,138.0,2943.308647,282.9416326
2021-01-04 10:15:00,1990.063259,228.1,3147.080194,316.111084
2021-01-04 10:30:00,1994.200126,232.5,2951.865192,749.5553885
2021-01-04 10:45:00,1933.640841,439.4,2894.790514,255.0129482
2021-01-04 11:00:00,1959.838041,197.5,2688.895844,364.9748033
2021-01-04 11:15:00,1916.563434,271.9,2691.421097,403.1242113
2021-01-04 11:30:00,1901.62842,269.8,2902.718853,488.1275962
2021-01-04 11:45:00,1843.112208,320.5,3047.661464,625.4617498
2021-01-04 12:00:00,1874.914573,381.5,3047.978558,252.5242688
2021-01-04 12:15:00,1953.69763,217.1,3070.758342,323.5339233
2021-01-04 12:30:00,1946.760534,240.7,2838.529719,309.8556038
2021-01-04 12:45:00,1891.73085,248.5,2680.32576,468.9736231
2021-01-04 13:00:00,1852.897505,329.6,2835.545606,688.221133
2021-01-04 13:15:00,1877.879758,391.3,2796.491256,444.5725071
2021-01-04 13:30:00,1912.959156,305.3,2845.471739,342.5167521
2021-01-04 13:45:00,1935.271511,275.2,2933.889661,323.2653724
2021-01-04 14:00:00,1958.728199,265.9,2953.578372,424.9050344
2021-01-04 14:15:00,1913.888659,302.2,2846.329875,670.6513917
2021-01-04 14:30:00,1924.715045,387.3,2857.893025,455.2771038
2021-01-04 14:45:00,1981.620593,285.5,2917.962311,226.8151793
2021-01-04 15:00:00,1946.039694,196.2,2831.292061,324.1404521
2021-01-04 15:15:00,2007.108088,251.7,2788.609849,310.6874948
2021-01-04 15:30:00,1938.844593,252.8,2983.081622,447.7992309
2021-01-04 15:45:00,1886.680284,302.7,3085.518444,636.3232241
2021-01-04 16:00:00,1875.08715,470.0,3078.789422,250.3642499
2021-01-04 16:15:00,1940.592055,213.8,2651.547861,422.2188083
2021-01-04 16:30:00,1949.601183,316.8,2692.665319,334.9198398
2021-01-04 16:45:00,1960.100653,279.8,2946.861539,470.9438826
2021-01-04 17:00:00,1977.846845,303.0,3257.179539,669.348092
2021-01-04 17:15:00,1968.399523,399.5,2967.683525,267.4908752
2021-01-04 17:30:00,1974.96174,211.9,2908.727469,386.4412177
2021-01-04 17:45:00,2006.273769,280.7,2755.589522,437.2697667
2021-01-04 18:00:00,2018.112704,324.6,3016.273992,615.922834
2021-01-04 18:15:00,1992.66341,365.4,3272.052328,604.3908531
2021-01-04 18:30:00,1982.917184,379.9,3170.212897,430.4132389
2021-01-04 18:45:00,2003.014056,317.9,3065.413103,260.4616663
2021-01-04 19:00:00,2039.15948,215.1,2878.839624,339.7732028
2021-01-04 19:15:00,2048.196655,247.5,2671.636508,380.1798844
2021-01-04 19:30:00,2088.196016,268.5,2780.205647,639.1884708
2021-01-04 19:45:00,2034.459771,392.1,2864.4176,534.0205214
2021-01-04 20:00:00,1973.647207,335.8,2898.170761,427.9822531
2021-01-04 20:15:00,2047.251121,311.6,2868.660108,335.3740653
2021-01-04 20:30:00,2020.705745,255.4,2937.275314,322.4361434
2021-01-04 20:45:00,2047.08598,247.8,2944.683058,369.489791
2021-01-04 21:00:00,2067.685615,255.8,2649.245067,683.6612997
2021-01-04 21:15:00,2055.986065,416.8,2734.911497,399.3929845
2021-01-04 21:30:00,2157.043716,278.6,2477.253986,462.0250462
2021-01-04 21:45:00,2134.681578,333.9,2664.861289,333.6558424
2021-01-04 22:00:00,2115.407109,264.5,2808.251717,376.0491885
2021-01-04 22:15:00,2138.463446,265.0,2710.356826,297.7417142
2021-01-04 22:30:00,2139.432083,229.3,2752.126353,462.5102698
2021-01-04 22:45:00,2128.348745,364.8,2565.754181,515.5042512
2021-01-04 23:00:00,2035.900328,369.2,2693.062981,250.7213578
2021-01-04 23:15:00,2168.522736,250.0,2732.011711,379.4226278
2021-01-04 23:30:00,2132.385996,290.1,2547.927156,414.5658585
2021-01-04 23:45:00,2209.280674,312.6,2462.683161,413.1802503
2021-01-05 00:00:00,2227.275542,284.6,2517.593669,711.4782097
2021-01-05 00:15:00,2178.581209,435.1,2456.126297,412.6433861
2021-01-05 00:30:00,2176.464064,292.4,2398.749078,303.8230816
2021-01-05 00:45:00,2223.15607,244.7,2586.784158,328.4888102
2021-01-05 01:00:00,2214.998464,250.7,2580.615369,342.6451125
2021-01-05 01:15:00,2265.295855,248.8,2453.345283,355.1369993
2021-01-05 01:30:00,2356.849344,264.9,2215.088492,489.6506465
2021-01-05 01:45:00,2304.743526,482.5,2545.174256,684.6677465
2021-01-05 02:00:00,2242.784059,570.0,2344.832397,455.2679003
2021-01-05 02:15:00,2272.301099,383.6,2278.886972,271.4865024
2021-01-05 02:30:00,2258.476735,304.1,2334.169142,355.9169986
